"","subject","country","rel_1","rel_2","rel_3","rel_4","rel_5","rel_6","rel_7","rel_8","rel_9","cnorm_1","cnorm_2","wb_gen_1","wb_gen_2","wb_phys_1","wb_phys_2","wb_phys_3","wb_phys_4","wb_phys_5","wb_phys_6","wb_phys_7","wb_psych_1","wb_psych_2","wb_psych_3","wb_psych_4","wb_psych_5","wb_psych_6","wb_soc_1","wb_soc_2","wb_soc_3","wb_overall_mean","wb_phys_mean","wb_psych_mean","wb_soc_mean","age","gender","ses","education","ethnicity","denomination","gdp","gdp_scaled","sample_type","compensation","attention_check","religiosity","cnorm"
"13",14,"Australia",0.5,0.428571428571429,0,1,0.166666666666667,0.166666666666667,0,0.25,0,0,0,4,4,4,5,5,5,3,4,5,4,1,3,5,5,4,4,3,2,3.88888888888889,4.42857142857143,3.66666666666667,3,-15.7628501228501,1,0.509584147321121,0.285198616893439,"Middle-Eastern/Arab","Muslim",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-0.532794397742356,-1.57295064117864
"14",15,"Australia",0.166666666666667,0,1,1,0,0.166666666666667,1,0.5,0,0.5,0,1,5,3,4,4,5,4,5,4,4,4,4,4,5,4,5,4,5,4.11111111111111,4.14285714285714,4.16666666666667,4.66666666666667,-7.76285012285012,1,-0.621345279054186,0.285198616893439,"South Asian","Buddhist",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-0.380663512698074,-0.622401944529682
"15",16,"Australia",0,0,0.5,0,0,0,0,0,0,0.5,0.5,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,5,4,5,3.88888888888889,3.57142857142857,3.83333333333333,4.66666666666667,2.23714987714988,1,1.07504886050877,-1.30235251563652,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-1.01172496177065,0.328146752119274
"16",17,"Australia",0.5,0.571428571428571,0.5,0,0.5,0.666666666666667,0.5,0.5,0.5,0.5,0.5,4,4,4,5,4,4,4,5,5,3,5,4,4,5,5,4,3,NA,4.23529411764706,4.42857142857143,4.33333333333333,3.5,-3.76285012285012,1,-0.0558805658665328,0.285198616893439,"I would rather not say",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,0.520852843119896,0.328146752119274
"17",18,"Australia",0,0,0.5,0,1,0,0.666666666666667,0,0,0,0,3,2,4,4,1,4,1,3,3,3,3,2,2,2,3,4,3,4,2.83333333333333,2.85714285714286,2.5,3.66666666666667,-2.76285012285012,0,-0.621345279054186,-0.508576949371538,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-0.538428874966219,-1.57295064117864
"18",19,"Australia",1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,5,5,5,4,2,5,5,5,5,4,5,5,5,4.55555555555556,4.42857142857143,4.33333333333333,5,13.2371498771499,0,1.07504886050877,1.87274974942339,"Caucasian/European","Muslim",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,2.06469960245817,2.22924414541719
"19",20,"Australia",0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,3,2,3,3,2,2,2,2,3,5,3,2,3,2.72222222222222,2.71428571428571,2.66666666666667,2.66666666666667,-13.7628501228501,0,-0.621345279054186,-1.30235251563652,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-1.24837300517287,-1.57295064117864
"20",21,"Australia",0,0.285714285714286,0,0,0.5,0.5,1,0.25,0,0,0,3,3,4,5,3,4,3,3,3,4,4,3,3,3,3,2,4,NA,3.35294117647059,3.57142857142857,3.33333333333333,3,-0.762850122850125,1,-0.621345279054186,-1.30235251563652,"Pacific Islander",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-0.521525443294632,-1.57295064117864
"21",22,"Australia",0.166666666666667,0.857142857142857,1,1,0.666666666666667,1,0.333333333333333,0.5,0.75,0.5,1,4,5,2,3,5,5,4,4,5,5,5,4,4,5,4,4,3,5,4.22222222222222,4,4.5,4,11.2371498771499,0,-0.621345279054186,1.87274974942339,"Caucasian/European","Christian (Roman Catholic)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.08993504272999,1.27869544876823
"22",23,"Australia",0.166666666666667,1,1,1,0.833333333333333,1,0.666666666666667,1,1,0.25,0.5,4,5,4,5,5,5,3,4,4,4,5,4,5,5,4,4,4,4,4.33333333333333,4.28571428571429,4.5,4,3.23714987714988,1,0.509584147321121,-1.30235251563652,"African","Muslim",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.59140351565374,-0.147127596205204
"23",24,"Australia",0.666666666666667,0.857142857142857,1,1,0.833333333333333,1,1,0.5,1,0.5,1,5,4,3,5,5,5,5,5,5,5,4,4,5,5,4,5,3,3,4.44444444444444,4.71428571428571,4.5,3.66666666666667,11.2371498771499,0,2.20597828688408,1.87274974942339,"Caucasian/European","Christian (Roman Catholic)",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.52378978896739,1.27869544876823
"24",25,"Australia",0.833333333333333,0.714285714285714,1,0,0.666666666666667,1,1,0.75,0.75,0.75,0.75,3,2,3,4,4,4,3,4,4,4,3,4,4,4,3,5,5,3,3.66666666666667,3.71428571428571,3.66666666666667,4.33333333333333,14.2371498771499,0,0.509584147321121,0.285198616893439,"East Asian",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,1.45617606228104,1.27869544876823
"25",26,"Australia",0,0,0,0,0,0,0.166666666666667,0,0,0.5,0.25,2,2,3,4,2,3,3,2,3,3,3,2,2,2,1,3,1,1,2.33333333333333,2.85714285714286,2.16666666666667,1.66666666666667,-10.7628501228501,1,-0.621345279054186,-1.30235251563652,"Caucasian/European",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,-1.24837300517287,-0.147127596205204
"26",27,"Australia",0,0.857142857142857,0,0,0.666666666666667,1,1,0.75,1,1,1,4,5,3,3,3,4,3,3,4,4,4,4,3,4,3,4,4,4,3.66666666666667,3.28571428571429,3.66666666666667,4,-11.7628501228501,0,0.509584147321121,-1.30235251563652,"African",NA,57305.2990162045,1.00180198970142,"online panel","monetary reward",1,0.7744043181937,2.22924414541719
"27",28,"Australia",0,0.142857142857143,0.5,1,0.833333333333333,1,1,0.5,0.5,0.25,0.25,3,3,5,4,2,4,1,3,3,3,3,4,5,3,3,3,3,1,3.11111111111111,3.14285714285714,3.5,2.33333333333333,15.2371498771499,0,-0.621345279054186,-2.09612808190149,"Caucasian/European","Other:",57305.2990162045,1.00180198970142,"online panel","monetary reward",1,0.396894344194925,-0.622401944529682
